Brand,Manufacturer,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugar,Potassium,Group
Apple_Cinnamon_Cheerios,G,110,2,2,180,2,11,10,70,1
Cheerios,G,110,6,2,290,2,17,1,105,1
Cocoa_Puff,G,110,1,1,180,0,12,13,55,1
CouncChocula,G,110,1,1,180,0,12,13,65,1
Golden_Graham,G,110,1,1,280,0,15,9,45,1
Honey Nut_Chccnos,G,110,3,1,250,13,12,10,90,1
Kix,G,110,2,1,260,0,21,3,40,1
Lucky_Chaims,G,110,2,1,180,0,12,12,55,1
Multi_GrajQ.ChcerKis,G,100,2,1,220,20,15,6,90,1
Oatmcal_Raisin_Crisp,G,130,3,2,170,2,14,10,120,1
Raisin_Nu_Bran,G,100,3,2,140,25,11,8,140,1
Total_Corn_Flakes,G,110,2,1,200,0,21,3,35,1
Tucal_Raisin_Bran,G,140,3,1,190,4,15,14,230,1
Total_WholcGram,G,100,3,1,200,3,16,3,110,1
Trix,G,110,1,1,140,0,13,12,25,1
Wheaties,G,100,3,1,200,30,17,3,110,1
Wheaties_Honcy_Goid,G,110,2,1,200,1,16,8,60,1
AILBran,K,70,4,1,260,9,7,5,320,2
Apple_Jacks,K,110,2,0,125,1,11,14,30,2
Com_Flakes,K,100,2,0,290,10,21,2,35,2
Corn-Pops,K,110,1,0,90,10,13,12,20,2
Cracklin_Oat_Bran,K,110,3,3,140,4,10,7,160,2
Crispix,K,110,2,0,220,1,21,3,30,2
Froot_Loops,K,110,2,1,125,1,11,13,30,2
Frosted_Flakes,K,110,1,0,200,1,14,11,25,2
Frosted_Mini_Wheats,K,100,3,0,0,3,14,7,100,2
Fruitful_Bran,K,120,3,0,240,5,14,12,190,2
JuM_Right_Crunchy_Nuggcts,K,110,2,1,170,1,17,6,60,2
Mue&lix_Crispy_Blend,K,160,3,2,150,3,17,13,160,2
NutA_Honcy_Crunch,K,120,2,1,190,0,15,9,40,2
Nutri_grain_Almond_Raisin,K,140,3,2,220,3,21,7,130,2
Nutri_grain_Whcat,K,90,3,0,170,3,18,2,90,2
Product_19,K,100,3,0,320,1,20,3,45,2
Raisin Bran,K,120,3,1,210,5,14,12,240,2
Ricc_Knspies,K,110,2,0,290,0,22,3,35,2
Smacks,K,110,2,1,70,1,9,15,40,2
Special _K,K,110,6,0,230,1,16,3,55,2
Cap_n_Crunch,Q,120,1,2,220,0,12,12,35,3
Honey_Graham_Ohs,Q,120,1,2,220,1,12,11,45,3
Life,Q,100,4,2,150,2,12,6,95,3
Puffed_Rice,Q,50,1,0,0,0,13,0,15,3
Puffcd_Wheat,Q,50,2,0,0,1,10,0,50,3
Quaker_Oatmeal,Q,100,5,2,0,3,1,1,110,3
